date_scrap,date_debut,date_fin,price,identifiant,typologie,nom
03/01/2024,11/05/2024,18/05/2024,1585.00,H5VC3WM,180 m² Villa ∙ 1 chambre ∙ 8 personnes,Grimentz - Valais
03/01/2024,18/05/2024,25/05/2024,1585.00,H5VC3WM,180 m² Villa ∙ 1 chambre ∙ 8 personnes,Grimentz - Valais
03/01/2024,25/05/2024,01/06/2024,1585.00,H5VC3WM,180 m² Villa ∙ 1 chambre ∙ 8 personnes,Grimentz - Valais
03/01/2024,16/03/2024,23/03/2024,936.37,H8WTMD3,90 m² Appartement ∙ 2 chambres ∙ 6 personnes,Saas-Almagell - Valais
03/01/2024,30/03/2024,06/04/2024,1316.70,H8WTMD3,90 m² Appartement ∙ 2 chambres ∙ 6 personnes,Saas-Almagell - Valais
03/01/2024,06/04/2024,13/04/2024,1143.40,H8WTMD3,90 m² Appartement ∙ 2 chambres ∙ 6 personnes,Saas-Almagell - Valais
03/01/2024,13/04/2024,20/04/2024,936.37,H8WTMD3,90 m² Appartement ∙ 2 chambres ∙ 6 personnes,Saas-Almagell - Valais
03/01/2024,20/04/2024,27/04/2024,936.37,H8WTMD3,90 m² Appartement ∙ 2 chambres ∙ 6 personnes,Saas-Almagell - Valais
03/01/2024,06/01/2024,13/01/2024,1750.87,HKCR08T,124 m² Appartement ∙ 3 chambres ∙ 7 personnes,Saas Fee - Valais
03/01/2024,13/01/2024,20/01/2024,1750.87,HKCR08T,124 m² Appartement ∙ 3 chambres ∙ 7 personnes,Saas Fee - Valais
03/01/2024,27/01/2024,03/02/2024,2705.98,HKCR08T,124 m² Appartement ∙ 3 chambres ∙ 7 personnes,Saas Fee - Valais
03/01/2024,24/02/2024,02/03/2024,2705.98,HKCR08T,124 m² Appartement ∙ 3 chambres ∙ 7 personnes,Saas Fee - Valais
03/01/2024,02/03/2024,09/03/2024,2705.98,HKCR08T,124 m² Appartement ∙ 3 chambres ∙ 7 personnes,Saas Fee - Valais
03/01/2024,16/03/2024,23/03/2024,2332.24,HKCR08T,124 m² Appartement ∙ 3 chambres ∙ 7 personnes,Saas Fee - Valais
03/01/2024,23/03/2024,30/03/2024,3403.63,HKCR08T,124 m² Appartement ∙ 3 chambres ∙ 7 personnes,Saas Fee - Valais
03/01/2024,30/03/2024,06/04/2024,3403.63,HKCR08T,124 m² Appartement ∙ 3 chambres ∙ 7 personnes,Saas Fee - Valais
03/01/2024,13/04/2024,20/04/2024,2332.24,HKCR08T,124 m² Appartement ∙ 3 chambres ∙ 7 personnes,Saas Fee - Valais
03/01/2024,20/04/2024,27/04/2024,1570.00,HA87WUL,65 m² Appartement ∙ 2 chambres ∙ 4 personnes,Zermatt - Valais
03/01/2024,27/04/2024,04/05/2024,1399.00,HA87WUL,65 m² Appartement ∙ 2 chambres ∙ 4 personnes,Zermatt - Valais
03/01/2024,04/05/2024,11/05/2024,1399.00,HA87WUL,65 m² Appartement ∙ 2 chambres ∙ 4 personnes,Zermatt - Valais
03/01/2024,11/05/2024,18/05/2024,1399.00,HA87WUL,65 m² Appartement ∙ 2 chambres ∙ 4 personnes,Zermatt - Valais
