date_scrap,date_debut,date_fin,price,identifiant,typologie,nom
07/12/2023,16/12/2023,23/12/2023,1192.38,H53V2HB,74 m² Appartement ∙ 2 chambres ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,17/02/2024,24/02/2024,3966.42,H53V2HB,74 m² Appartement ∙ 2 chambres ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,02/03/2024,09/03/2024,1594.74,H53V2HB,74 m² Appartement ∙ 2 chambres ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,09/03/2024,16/03/2024,1472.07,H53V2HB,74 m² Appartement ∙ 2 chambres ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,16/03/2024,23/03/2024,1472.07,H53V2HB,74 m² Appartement ∙ 2 chambres ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,06/04/2024,13/04/2024,1472.07,H53V2HB,74 m² Appartement ∙ 2 chambres ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,13/04/2024,20/04/2024,1472.07,H53V2HB,74 m² Appartement ∙ 2 chambres ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,09/12/2023,16/12/2023,1856.00,H6EW24U,Villa ∙ 1 chambre ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,16/12/2023,23/12/2023,2116.00,H6EW24U,Villa ∙ 1 chambre ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,06/01/2024,13/01/2024,2116.00,H6EW24U,Villa ∙ 1 chambre ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,13/01/2024,20/01/2024,2116.00,H6EW24U,Villa ∙ 1 chambre ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,20/01/2024,27/01/2024,2116.00,H6EW24U,Villa ∙ 1 chambre ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,27/01/2024,03/02/2024,2246.00,H6EW24U,Villa ∙ 1 chambre ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,03/02/2024,10/02/2024,2246.00,H6EW24U,Villa ∙ 1 chambre ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,24/02/2024,02/03/2024,2505.00,H6EW24U,Villa ∙ 1 chambre ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,09/03/2024,16/03/2024,2246.00,H6EW24U,Villa ∙ 1 chambre ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,16/03/2024,23/03/2024,2116.00,H6EW24U,Villa ∙ 1 chambre ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,06/04/2024,13/04/2024,1856.00,H6EW24U,Villa ∙ 1 chambre ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,13/04/2024,20/04/2024,1856.00,H6EW24U,Villa ∙ 1 chambre ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,20/04/2024,27/04/2024,1856.00,H6EW24U,Villa ∙ 1 chambre ∙ 6 personnes,Zinal - Ayer - Valais
07/12/2023,27/04/2024,04/05/2024,1856.00,H6EW24U,Villa ∙ 1 chambre ∙ 6 personnes,Zinal - Ayer - Valais
